devanagari,relation
नाशयति,NASHAYATI
नश्यति,NASHAYATI
शमयति,SHAMAYATI
समयति,SHAMAYATI
उपयुज्यते,UPAYUJYATE
उपयुज्यन्ति,UPAYUJYATE
करोति,KAROTI
निवारयति,NASHAYATI
